x-axis,1,2
second,Volt,Volt
+0.0E+00,+47.008293E-03,+1.007263E-03
+1.563E-06,+72.293922E-03,+5.375981E-03
+3.125E-06,+97.579551E-03,+9.744700E-03
+4.688E-06,+122.865180E-03,+14.113418E-03
+6.250E-06,+148.150809E-03,+18.482137E-03
+7.813E-06,+173.436438E-03,+22.850856E-03
+9.375E-06,+198.722067E-03,+27.219574E-03
+10.938E-06,+224.007696E-03,+31.588293E-03
+12.500E-06,+249.293325E-03,+35.957011E-03
+14.063E-06,+274.578954E-03,+40.325730E-03
+15.625E-06,+299.864583E-03,+44.694448E-03
+17.188E-06,+295.566291E-03,+44.637916E-03
+18.750E-06,+291.268000E-03,+44.581383E-03
+20.313E-06,+286.969708E-03,+44.524850E-03
+21.875E-06,+282.671417E-03,+44.468318E-03
+23.438E-06,+278.373125E-03,+44.411785E-03
+25.000E-06,+274.074833E-03,+44.355252E-03
+26.563E-06,+269.776542E-03,+44.298720E-03
+28.125E-06,+265.478250E-03,+44.242187E-03
+29.688E-06,+261.179959E-03,+44.185654E-03
+31.250E-06,+256.881667E-03,+44.129122E-03
+32.813E-06,+234.753425E-03,+43.029875E-03
+34.375E-06,+212.625183E-03,+41.930629E-03
+35.938E-06,+190.496941E-03,+40.831383E-03
+37.500E-06,+168.368699E-03,+39.732137E-03
+39.063E-06,+146.240457E-03,+38.632891E-03
+40.625E-06,+124.112215E-03,+37.533644E-03
+42.188E-06,+101.983973E-03,+36.434398E-03
+43.750E-06,+79.855732E-03,+35.335152E-03
+45.313E-06,+57.727490E-03,+34.235906E-03
+46.875E-06,+35.599248E-03,+33.136659E-03
+48.438E-06,+29.072212E-03,+30.489046E-03
+50.000E-06,+22.545177E-03,+27.841433E-03
+51.563E-06,+16.018142E-03,+25.193820E-03
+53.125E-06,+9.491106E-03,+22.546207E-03
+54.688E-06,+2.964071E-03,+19.898594E-03
+56.250E-06,-3.562965E-03,+17.250981E-03
+57.813E-06,-10.090000E-03,+14.603368E-03
+59.375E-06,-16.617035E-03,+11.955755E-03
+60.938E-06,-23.144071E-03,+9.308142E-03
+62.500E-06,-29.671106E-03,+6.660529E-03
+64.063E-06,-45.458041E-03,+2.360906E-03
+65.625E-06,-61.244977E-03,-1.938717E-03
+67.188E-06,-77.031912E-03,-6.238340E-03
+68.750E-06,-92.818847E-03,-10.537963E-03
+70.313E-06,-108.605782E-03,-14.837586E-03
+71.875E-06,-124.392717E-03,-19.137209E-03
+73.438E-06,-140.179653E-03,-23.436832E-03
+75.000E-06,-155.966588E-03,-27.736455E-03
